,image_urls
0,https://m.media-amazon.com/images/I/91ROAmN8SwL._AC_UL320_.jpg
1,https://m.media-amazon.com/images/I/41JRFLHbBoL._AC_UL320_.jpg
2,https://m.media-amazon.com/images/I/81CfXLf-h1L._AC_UL320_.jpg
3,https://m.media-amazon.com/images/I/91ryCQQoeoL._AC_UL320_.jpg
4,https://m.media-amazon.com/images/I/51wpu-iyHQL._AC_UL320_.jpg
5,https://m.media-amazon.com/images/I/81OJRal2a3L._AC_UL320_.jpg
6,https://m.media-amazon.com/images/I/81H0ki1TX2L._AC_UL320_.jpg
7,https://m.media-amazon.com/images/I/919eZkyrhqL._AC_UL320_.jpg
8,https://m.media-amazon.com/images/I/61OBV8cJAYL._AC_UL320_.jpg
9,https://m.media-amazon.com/images/I/71K0lgxxUrL._AC_UL320_.jpg
10,https://m.media-amazon.com/images/I/61tVLb2OfrL._AC_UL320_.jpg
11,https://m.media-amazon.com/images/I/61gmjNpvLsL._AC_UL320_.jpg
12,https://m.media-amazon.com/images/I/61-TuCrKZ7L._AC_UL320_.jpg
13,https://m.media-amazon.com/images/I/414CQUfid0L._AC_UL320_.jpg
14,https://m.media-amazon.com/images/I/71M7V-t9-8L._AC_UL320_.jpg
15,https://m.media-amazon.com/images/I/71-x0qqr2-L._AC_UL320_.jpg
16,https://m.media-amazon.com/images/I/71qDp+N7pKL._AC_UL320_.jpg
17,https://m.media-amazon.com/images/I/81Qr1+U+JeL._AC_UL320_.jpg
18,https://m.media-amazon.com/images/I/71QYytzJNFL._AC_UL320_.jpg
19,https://m.media-amazon.com/images/I/61kcFfSTEEL._AC_UL320_.jpg
20,https://m.media-amazon.com/images/I/71ucR9t3QPL._AC_UL320_.jpg
21,https://m.media-amazon.com/images/I/718rD4AqFJL._AC_UL320_.jpg
22,https://m.media-amazon.com/images/I/61YQd1wdQBL._AC_UL320_.jpg
23,https://m.media-amazon.com/images/I/91dr6ZRUZML._AC_UL320_.jpg
24,https://m.media-amazon.com/images/I/51oZhYdm+gL._AC_UL320_.jpg
25,https://m.media-amazon.com/images/I/6131GX+aQ0L._AC_UL320_.jpg
26,https://m.media-amazon.com/images/I/81gk-H3IZuL._AC_UL320_.jpg
27,https://m.media-amazon.com/images/I/31+y2IlJTRL._AC_UL320_.jpg
28,https://m.media-amazon.com/images/I/81QgzHjwemL._AC_UL320_.jpg
