,image_urls
0,https://m.media-amazon.com/images/I/61FLSYvdWBL._AC_UL320_.jpg
1,https://m.media-amazon.com/images/I/61Pg7Yg8SvL._AC_UL320_.jpg
2,https://m.media-amazon.com/images/I/61hPNagfU2L._AC_UL320_.jpg
3,https://m.media-amazon.com/images/I/61yeoWUaIVL._AC_UL320_.jpg
4,https://m.media-amazon.com/images/I/71SyRdUvgYL._AC_UL320_.jpg
5,https://m.media-amazon.com/images/I/61iw4zd71hL._AC_UL320_.jpg
6,https://m.media-amazon.com/images/I/61pJ8ZOIgnL._AC_UL320_.jpg
7,https://m.media-amazon.com/images/I/61gbeKGDjaL._AC_UL320_.jpg
8,https://m.media-amazon.com/images/I/61xarqHxN3L._AC_UL320_.jpg
9,https://m.media-amazon.com/images/I/71d+d9bYZWL._AC_UL320_.jpg
10,https://m.media-amazon.com/images/I/41ODA9fuSnL._AC_UL320_.jpg
11,https://m.media-amazon.com/images/I/61zqR4SwXCL._AC_UL320_.jpg
12,https://m.media-amazon.com/images/I/71xjwAElQTL._AC_UL320_.jpg
13,https://m.media-amazon.com/images/I/716SqCN5LlL._AC_UL320_.jpg
14,https://m.media-amazon.com/images/I/61SEWpaZugL._AC_UL320_.jpg
15,https://m.media-amazon.com/images/I/71mlI9XwduL._AC_UL320_.jpg
16,https://m.media-amazon.com/images/I/61vCTLr0I0L._AC_UL320_.jpg
17,https://m.media-amazon.com/images/I/61qsFyYUx3L._AC_UL320_.jpg
18,https://m.media-amazon.com/images/I/81SfQR4+8iL._AC_UL320_.jpg
19,https://m.media-amazon.com/images/I/811qpZBwFNL._AC_UL320_.jpg
20,https://m.media-amazon.com/images/I/71drDlsC96L._AC_UL320_.jpg
21,https://m.media-amazon.com/images/I/81vnqCnmJaL._AC_UL320_.jpg
22,https://m.media-amazon.com/images/I/518YmEeGqPL._AC_UL320_.jpg
23,https://m.media-amazon.com/images/I/71wO27wsMNL._AC_UL320_.jpg
24,https://m.media-amazon.com/images/I/61ou0OmiHJL._AC_UL320_.jpg
25,https://m.media-amazon.com/images/I/61Qw6Uhw3yL._AC_UL320_.jpg
26,https://m.media-amazon.com/images/I/71fTHVSTubL._AC_UL320_.jpg
27,https://m.media-amazon.com/images/I/51B0vto2v4L._AC_UL320_.jpg
28,https://m.media-amazon.com/images/I/71Dt09KKbZL._AC_UL320_.jpg
29,https://m.media-amazon.com/images/I/71ri8hFFBmL._AC_UL320_.jpg
30,https://m.media-amazon.com/images/I/61uprWwfddL._AC_UL320_.jpg
31,https://m.media-amazon.com/images/I/612w1dndRnL._AC_UL320_.jpg
32,https://m.media-amazon.com/images/I/419y8QuU4WL._AC_UL320_.jpg
33,https://m.media-amazon.com/images/I/81nVuP8+jyL._AC_UL320_.jpg
34,https://m.media-amazon.com/images/I/71NfXNbmeGL._AC_UL320_.jpg
35,https://m.media-amazon.com/images/I/6180NQK2cuL._AC_UL320_.jpg
36,https://m.media-amazon.com/images/I/71nj1hWeA3L._AC_UL320_.jpg
37,https://m.media-amazon.com/images/I/51Aiv9Pz8CL._AC_UL320_.jpg
38,https://m.media-amazon.com/images/I/61sOVloTa3L._AC_UL320_.jpg
